event_time,update,os,try_cnt,success_cnt
2018-06-01,before,android,1945,770
2018-06-01,before,ios,736,197
2018-06-02,before,android,1312,545
2018-06-02,before,ios,465,110
2018-06-03,before,android,1008,425
2018-06-03,before,ios,397,97
2018-06-04,before,android,2015,902
2018-06-04,before,ios,700,215
2018-06-05,before,android,1995,859
2018-06-05,before,ios,844,196
2018-06-06,before,android,1587,526
2018-06-06,before,ios,602,145
2018-06-07,before,android,2067,841
2018-06-07,before,ios,801,230
2018-06-08,before,android,1801,741
2018-06-08,before,ios,739,204
2018-06-09,before,android,1331,558
2018-06-09,before,ios,508,123
2018-06-10,before,android,1021,402
2018-06-10,before,ios,486,101
2018-06-11,before,android,1923,818
2018-06-11,before,ios,819,235
2018-06-12,before,android,1734,775
2018-06-12,before,ios,686,186
2018-06-13,before,android,1301,577
2018-06-13,before,ios,432,108
2018-06-14,before,android,1780,807
2018-06-14,before,ios,712,190
2018-06-15,before,android,1551,687
2018-06-15,before,ios,721,201
2018-06-16,before,android,1159,558
2018-06-16,before,ios,440,98
2018-06-17,before,android,747,363
2018-06-17,before,ios,456,95
2018-06-18,before,android,1740,766
2018-06-18,before,ios,766,219
2018-06-19,before,android,2072,858
2018-06-19,before,ios,807,216
2018-06-20,before,android,2142,848
2018-06-20,before,ios,856,209
2018-06-21,before,android,2098,812
2018-06-21,before,ios,775,206
2018-06-22,before,android,1960,768
2018-06-22,before,ios,714,174
2018-06-23,before,android,1280,554
2018-06-23,before,ios,462,111
2018-06-24,before,android,934,377
2018-06-24,before,ios,419,84
2018-06-25,before,android,1867,854
2018-06-25,before,ios,749,222
2018-06-26,before,android,1964,814
2018-06-26,before,ios,726,202
2018-06-27,before,android,2193,805
2018-06-27,before,ios,859,228
2018-06-28,before,android,1971,787
2018-06-28,before,ios,745,191
2018-06-29,before,android,1861,763
2018-06-29,before,ios,696,187
2018-06-30,before,android,8650,1435
2018-06-30,before,ios,476,112
2018-07-01,before,android,1496,482
2018-07-01,before,ios,502,120
2018-07-02,after,android,239,74
2018-07-02,after,ios,41,27
2018-07-02,before,android,2324,895
2018-07-02,before,ios,668,203
2018-07-03,after,android,2780,1021
2018-07-03,after,ios,681,289
2018-07-03,before,android,509,252
2018-07-03,before,ios,123,43
2018-07-04,after,android,2824,1048
2018-07-04,after,ios,762,312
2018-07-04,before,android,318,173
2018-07-04,before,ios,41,20
2018-07-05,after,android,2920,1032
2018-07-05,after,ios,707,275
2018-07-05,before,android,240,113
2018-07-05,before,ios,34,18
2018-07-06,after,android,2629,859
2018-07-06,after,ios,557,183
2018-07-06,before,android,235,102
2018-07-06,before,ios,31,9
2018-07-07,after,android,2007,674
2018-07-07,after,ios,311,131
2018-07-07,before,android,126,56
2018-07-07,before,ios,13,4
2018-07-08,after,android,1674,489
2018-07-08,after,ios,292,119
2018-07-08,before,android,83,37
2018-07-08,before,ios,12,3
2018-07-09,after,android,2575,975
2018-07-09,after,ios,584,224
2018-07-09,before,android,263,104
2018-07-09,before,ios,24,10
2018-07-10,after,android,2561,905
2018-07-10,after,ios,608,249
2018-07-10,before,android,204,89
2018-07-10,before,ios,16,5
2018-07-11,after,android,2912,874
2018-07-11,after,ios,639,187
2018-07-11,before,android,149,65
2018-07-11,before,ios,16,11
2018-07-12,after,android,2793,920
2018-07-12,after,ios,675,199
2018-07-12,before,android,184,76
2018-07-12,before,ios,19,10
2018-07-13,after,android,2820,805
2018-07-13,after,ios,773,218
2018-07-13,before,android,196,77
2018-07-13,before,ios,19,10
2018-07-14,after,android,2140,649
2018-07-14,after,ios,722,134
2018-07-14,before,android,95,44
2018-07-14,before,ios,9,4
2018-07-15,after,android,1925,513
2018-07-15,after,ios,802,118
2018-07-15,before,android,109,30
2018-07-15,before,ios,8,2
