event_time,update,os,source,try_cnt,success_cnt
2018-06-01,before,android,email,650,120.0
2018-06-01,before,android,facebook,223,39.0
2018-06-01,before,android,google_plus,781,184.0
2018-06-01,before,android,naver,1492,430.0
2018-06-01,before,ios,email,185,46.0
2018-06-01,before,ios,facebook,133,24.0
2018-06-01,before,ios,google_plus,177,38.0
2018-06-01,before,ios,naver,541,91.0
2018-06-02,before,android,email,522,85.0
2018-06-02,before,android,facebook,121,24.0
2018-06-02,before,android,google_plus,589,132.0
2018-06-02,before,android,naver,986,308.0
2018-06-02,before,ios,email,146,32.0
2018-06-02,before,ios,facebook,96,10.0
2018-06-02,before,ios,google_plus,110,27.0
2018-06-02,before,ios,naver,317,44.0
2018-06-03,before,android,email,337,70.0
2018-06-03,before,android,facebook,87,24.0
2018-06-03,before,android,google_plus,443,125.0
2018-06-03,before,android,naver,727,214.0
2018-06-03,before,ios,email,103,20.0
2018-06-03,before,ios,facebook,76,11.0
2018-06-03,before,ios,google_plus,106,23.0
2018-06-03,before,ios,naver,266,43.0
2018-06-04,before,android,email,738,170.0
2018-06-04,before,android,facebook,229,70.0
2018-06-04,before,android,google_plus,837,199.0
2018-06-04,before,android,naver,1542,470.0
2018-06-04,before,ios,email,190,43.0
2018-06-04,before,ios,facebook,125,26.0
2018-06-04,before,ios,google_plus,191,43.0
2018-06-04,before,ios,naver,515,114.0
2018-06-05,before,android,email,644,150.0
2018-06-05,before,android,facebook,284,65.0
2018-06-05,before,android,google_plus,800,200.0
2018-06-05,before,android,naver,1488,459.0
2018-06-05,before,ios,email,198,38.0
2018-06-05,before,ios,facebook,144,30.0
2018-06-05,before,ios,google_plus,207,38.0
2018-06-05,before,ios,naver,629,95.0
2018-06-06,before,android,email,528,90.0
2018-06-06,before,android,facebook,231,25.0
2018-06-06,before,android,google_plus,579,130.0
2018-06-06,before,android,naver,1145,285.0
2018-06-06,before,ios,email,108,29.0
2018-06-06,before,ios,facebook,121,22.0
2018-06-06,before,ios,google_plus,156,33.0
2018-06-06,before,ios,naver,423,68.0
2018-06-07,before,android,email,772,150.0
2018-06-07,before,android,facebook,200,35.0
2018-06-07,before,android,google_plus,847,209.0
2018-06-07,before,android,naver,1541,460.0
2018-06-07,before,ios,email,195,52.0
2018-06-07,before,ios,facebook,151,30.0
2018-06-07,before,ios,google_plus,194,52.0
2018-06-07,before,ios,naver,576,105.0
2018-06-08,before,android,email,567,116.0
2018-06-08,before,android,facebook,165,47.0
2018-06-08,before,android,google_plus,724,186.0
2018-06-08,before,android,naver,1303,399.0
2018-06-08,before,ios,email,200,50.0
2018-06-08,before,ios,facebook,115,20.0
2018-06-08,before,ios,google_plus,169,33.0
2018-06-08,before,ios,naver,554,105.0
